EMBL_transcript_id,cDNA_length,cds_length,exons_nr,5_MAR_presence,3_MAR_presence,5_polyA_18_presence,5_CCGNN_2_5_presence,perc_go_hk_match,perc_go_ts_match,is_hk
ENST00000341582,2056,1338,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
ENST00000342795,879,879,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
ENST00000343375,1335,1047,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
ENST00000355558,1619,903,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
ENST00000357177,1313,813,NaN,no,yes,no,no,0.1111111,0.2222222,NaN
ENST00000233156,1421,915,NaN,yes,no,no,no,0,0.6666667,NaN
ENST00000339091,1087,756,NaN,yes,no,no,no,0,0.6666667,NaN
ENST00000002125,2193,1326,10,no,no,no,yes,NaN,NaN,NaN
ENST00000336237,1899,1032,8,no,no,no,yes,NaN,NaN,NaN
ENST00000347869,3097,2448,NaN,yes,no,yes,no,0,0.1111111,NaN
ENST00000180173,1627,1176,9,no,yes,no,no,0,0.4,NaN
ENST00000004531,2068,1977,12,no,no,no,no,0,0.3333333,NaN
ENST00000250265,2151,1974,12,no,no,no,no,0,0.3333333,NaN
ENST00000000233,1037,543,NaN,no,no,no,no,0,0,NaN
ENST00000003834,6861,2073,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000003607,2587,1104,NaN,no,no,no,no,0,0,NaN
ENST00000324093,7092,5955,NaN,no,no,no,yes,0,0.25,NaN
ENST00000234594,2146,699,NaN,no,no,no,no,0,0.1666667,NaN
ENST00000354858,651,609,NaN,no,no,no,no,0,0.1666667,NaN
ENST00000361691,961,720,NaN,no,no,no,no,0,0.1666667,NaN
ENST00000226279,1493,903,8,yes,no,no,no,0,0.2222222,NaN
ENST00000001008,2227,1380,10,no,no,no,yes,0.125,0,NaN
ENST00000246149,3058,2730,NaN,no,no,no,no,0,0,NaN
ENST00000356634,2989,2661,NaN,no,no,no,no,0,0,NaN
ENST00000266022,3691,3372,NaN,no,yes,no,no,0,0,NaN
ENST00000158166,2456,1563,16,no,no,no,yes,0,0.1428571,NaN
ENST00000348335,3546,1518,16,no,no,no,yes,0,0.1428571,NaN
ENST00000314748,2833,1950,15,yes,no,no,yes,0,0,NaN
ENST00000341443,2265,1950,16,yes,no,no,yes,0,0,NaN
ENST00000251739,1188,984,NaN,no,no,no,no,0,0,NaN
ENST00000305866,3620,1518,NaN,no,no,no,no,0,0,NaN
ENST00000317751,2044,1242,NaN,no,no,no,no,0,0,NaN
ENST00000357709,5500,1674,NaN,no,no,no,no,0,0,NaN
ENST00000004982,1457,483,NaN,no,no,no,yes,0,0,NaN
ENST00000007510,3409,2712,NaN,no,no,no,no,0,0.25,NaN
ENST00000221905,741,741,NaN,no,no,no,no,0,0.25,NaN
ENST00000314737,3859,3381,NaN,no,no,no,no,0,0.25,NaN
ENST00000007516,665,471,5,no,no,no,no,0,0.125,NaN
ENST00000005178,3572,1236,NaN,no,yes,no,no,0,0,NaN
ENST00000265599,1967,1734,NaN,no,no,yes,yes,8.33E-02,0.1666667,NaN
ENST00000330550,2033,1632,NaN,no,no,yes,yes,8.33E-02,0.1666667,NaN
ENST00000231749,2891,1323,NaN,yes,no,yes,no,0,0,NaN
ENST00000342875,1745,1308,NaN,yes,no,yes,no,0,0,NaN
ENST00000360165,2891,1323,NaN,yes,no,yes,no,0,0,NaN
ENST00000258738,2906,2439,19,no,yes,no,no,0,0.5,NaN
ENST00000005545,2184,1689,5,no,no,no,no,0,0.25,NaN
ENST00000265631,3135,2028,NaN,no,no,no,yes,0,0.4285714,NaN
ENST00000265437,2700,1758,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000265438,2178,1605,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000323984,2029,1665,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000066544,3277,2475,NaN,no,no,no,no,0,0.1428571,NaN
ENST00000262418,3636,2736,NaN,no,no,no,no,0,0.5,NaN
ENST00000356251,327,327,NaN,no,no,no,no,0,0.5,NaN
ENST00000316576,1735,1425,NaN,no,no,no,no,0,9.09E-02,NaN
ENST00000354481,1774,1425,NaN,no,no,no,no,0,9.09E-02,NaN
ENST00000359558,3470,1425,NaN,no,no,no,no,0,9.09E-02,NaN
ENST00000360249,3518,1473,NaN,no,no,no,no,0,9.09E-02,NaN
ENST00000321143,2277,807,7,no,no,no,no,0,0.4285714,NaN
ENST00000005340,3016,2211,15,no,no,no,no,0,0.2857143,NaN
ENST00000161006,1368,954,6,no,no,yes,no,0,0.75,NaN
ENST00000262803,5341,3357,NaN,no,no,no,yes,0,0,NaN
ENST00000345317,3968,1080,13,yes,no,no,no,0,0.5,NaN
ENST00000005593,1225,897,NaN,no,no,no,yes,0,0.375,NaN
ENST00000344132,2183,747,NaN,yes,no,yes,yes,NaN,NaN,NaN
ENST00000006015,2295,942,2,no,no,no,no,0,0,NaN
ENST00000292614,597,354,NaN,yes,no,no,no,0.125,0.125,NaN
ENST00000326391,741,480,NaN,yes,no,no,no,0.125,0.125,NaN
ENST00000225296,4055,2124,12,no,no,no,no,0.2,0,NaN
ENST00000318579,2315,765,NaN,no,no,no,no,0,0.1428571,NaN
ENST00000329168,2142,555,NaN,no,no,no,no,0,0.1428571,NaN
ENST00000262042,5663,4503,26,no,no,no,no,NaN,NaN,NaN
ENST00000262327,3001,2589,NaN,no,no,no,yes,8.33E-02,0.1666667,NaN
ENST00000305382,3432,2769,NaN,no,no,no,yes,8.33E-02,0.1666667,NaN
ENST00000005386,2255,1998,17,no,no,no,no,0,0,NaN
ENST00000289416,2132,1761,14,no,no,no,no,0,0.4,NaN
ENST00000261377,2718,2325,20,no,no,no,yes,0,0,NaN
ENST00000319757,2406,2034,17,no,no,no,yes,0,0,NaN
ENST00000348433,2611,2232,19,no,no,no,yes,0,0,NaN
ENST00000219043,2243,1104,NaN,no,yes,no,yes,NaN,NaN,NaN
ENST00000356811,2105,1104,NaN,no,yes,no,yes,NaN,NaN,NaN
ENST00000320335,3397,1776,16,no,no,no,yes,0,0.25,NaN
ENST00000322813,3026,1617,9,no,no,no,yes,NaN,NaN,NaN
ENST00000355521,2870,1362,8,no,no,no,yes,NaN,NaN,NaN
ENST00000356038,2726,1617,7,no,no,no,yes,NaN,NaN,NaN
ENST00000006101,627,627,NaN,no,no,no,no,0.1666667,0,NaN
ENST00000265717,3660,1257,NaN,no,no,no,yes,0,0.625,NaN
ENST00000312196,2343,1566,13,no,no,no,yes,0,0.4,NaN
ENST00000337339,3524,1251,9,no,no,no,yes,0,0.4,NaN
ENST00000347307,2260,1389,12,no,no,no,yes,0,0.4,NaN
ENST00000361672,2343,1068,13,no,no,no,yes,0,0.4,NaN
ENST00000262367,8675,7329,32,no,no,no,yes,0,0.2,NaN
ENST00000323508,3694,2772,4,no,no,no,yes,0,0.2,NaN
ENST00000268893,7659,5574,NaN,no,no,no,no,0,0,NaN
ENST00000343736,5394,5394,NaN,no,no,no,no,0,0,NaN
ENST00000355701,6954,5724,NaN,no,no,no,no,0,0,NaN
ENST00000225275,3215,2238,NaN,no,no,yes,no,0,0.2727273,NaN
ENST00000340482,3311,2334,NaN,no,no,yes,no,0,0.2727273,NaN
ENST00000222381,2393,1068,NaN,no,no,no,yes,0,0.3333333,NaN
ENST00000233047,4805,2307,NaN,no,no,no,no,0,0,NaN
ENST00000321027,5185,2346,NaN,no,no,no,no,0,0,NaN
ENST00000338127,1861,339,NaN,no,no,yes,yes,NaN,NaN,NaN
ENST00000348227,1146,1005,NaN,no,no,yes,yes,NaN,NaN,NaN
ENST00000331536,3173,1839,NaN,no,no,no,no,0,0.75,NaN
ENST00000265723,4019,3861,NaN,no,no,no,yes,0,0.5,no
ENST00000358400,3699,3699,NaN,no,no,no,yes,0,0.5,no
ENST00000359206,3847,3840,NaN,no,no,no,yes,0,0.5,no
ENST00000257745,1980,1779,NaN,no,no,no,yes,0,0,NaN
ENST00000311117,7139,5577,NaN,no,no,no,yes,0,0,NaN
ENST00000333597,5340,5340,NaN,no,no,no,yes,0,0,NaN
ENST00000334877,717,717,NaN,no,no,no,yes,0,0,NaN
ENST00000334884,2511,1356,NaN,no,no,no,yes,0,0,NaN
ENST00000334914,1990,408,NaN,no,no,no,yes,0,0,NaN
ENST00000337472,375,372,NaN,no,no,no,yes,0,0,NaN
ENST00000339918,1713,729,NaN,no,no,no,yes,0,0,NaN
ENST00000351043,6529,5577,NaN,no,no,no,yes,0,0,NaN
ENST00000006777,1789,1296,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000318622,240,240,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000293894,3048,1341,3,no,no,no,yes,0.125,0.125,NaN
ENST00000360050,4153,1131,2,no,no,no,yes,0.125,0.125,NaN
ENST00000306270,5482,4140,NaN,no,no,no,no,0,0,NaN
ENST00000005082,2252,1902,7,yes,no,no,no,0,0,NaN
ENST00000315076,1576,1536,NaN,no,no,no,no,0,0,NaN
ENST00000357337,14733,13920,NaN,no,no,no,no,0,0,NaN
ENST00000360084,4033,825,NaN,no,no,no,no,0,0,NaN
ENST00000281993,3490,1287,NaN,no,no,no,no,0,0,NaN
ENST00000355619,3421,1287,NaN,no,no,no,no,0,0,NaN
ENST00000315171,4630,3345,NaN,no,no,no,no,0,0.2727273,NaN
ENST00000354595,2616,2616,NaN,no,no,no,no,0,0.2727273,NaN
ENST00000356798,2868,2868,NaN,no,no,no,no,0,0.2727273,NaN
ENST00000358164,2934,2934,NaN,no,no,no,no,0,0.2727273,NaN
ENST00000007708,2289,1224,NaN,yes,no,yes,yes,0,0,NaN
ENST00000007722,4489,3201,NaN,no,no,no,yes,0,0.1428571,NaN
ENST00000320031,4559,3156,NaN,no,no,no,yes,0,0.1428571,NaN
ENST00000304543,2996,2418,9,yes,no,no,yes,0,0.375,NaN
ENST00000313152,789,789,3,yes,no,no,yes,0,0.375,NaN
ENST00000338565,1545,1479,3,yes,no,no,yes,0,0.375,NaN
ENST00000007752,2649,1233,NaN,no,no,yes,no,0,0,NaN
ENST00000200639,1867,1233,NaN,no,no,yes,no,0,0,NaN
ENST00000304718,2574,2094,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000262407,3343,3129,NaN,no,no,no,no,0,0.1428571,NaN
ENST00000353281,3027,3027,NaN,no,no,no,no,0,0.1428571,NaN
ENST00000257621,1475,1050,NaN,no,no,no,yes,0,1,NaN
ENST00000325885,1281,1281,NaN,no,no,no,yes,0,1,NaN
ENST00000321937,3121,1182,7,no,yes,no,no,0,0.25,NaN
ENST00000353258,2935,996,6,no,yes,no,no,0,0.25,NaN
ENST00000326636,1938,687,NaN,no,no,yes,no,NaN,NaN,NaN
ENST00000358607,798,642,NaN,no,no,yes,no,NaN,NaN,NaN
ENST00000007403,1792,1269,NaN,no,no,no,yes,0,0.5,NaN
ENST00000007414,3349,2529,NaN,no,no,no,no,0,0.6666667,NaN
ENST00000358006,3656,2529,NaN,no,no,no,no,0,0.6666667,NaN
ENST00000261713,1539,681,NaN,yes,no,no,no,NaN,NaN,NaN
ENST00000007699,1570,1095,9,no,no,no,yes,0,0.25,NaN
ENST00000007735,1281,1215,NaN,no,no,yes,no,0,0.5,NaN
ENST00000344686,4409,2841,NaN,no,no,no,no,0,0,NaN
ENST00000302539,4977,4746,39,no,no,no,no,0,0.4166667,NaN
ENST00000004921,769,270,NaN,no,no,no,no,0,0.7777778,NaN
ENST00000225245,775,279,NaN,yes,no,no,no,0,0.625,NaN
ENST00000356946,683,270,NaN,yes,no,no,no,0,0.625,NaN
ENST00000339208,1306,1203,NaN,no,no,yes,yes,0,0.1666667,NaN
ENST00000345615,5062,3909,NaN,no,no,yes,yes,0,0.1666667,NaN
ENST00000346661,5098,3945,NaN,no,no,yes,yes,0,0.1666667,NaN
ENST00000005284,2696,948,4,yes,no,no,no,0,0.375,NaN
ENST00000005286,3486,3075,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000345586,2734,2325,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000262325,5708,2820,NaN,no,no,no,no,0,0.25,NaN
ENST00000312678,3354,2862,NaN,no,no,no,no,0,0.25,NaN
ENST00000319273,1082,390,NaN,no,yes,no,yes,0,0.5555556,NaN
ENST00000346867,1037,345,NaN,no,yes,no,yes,0,0.5555556,NaN
ENST00000350485,1028,336,NaN,no,yes,no,yes,0,0.5555556,NaN
ENST00000219069,3277,2052,6,no,no,no,yes,0,0,NaN
ENST00000006053,3278,1194,NaN,no,no,no,no,0,0.25,NaN
ENST00000006658,2647,2409,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000356488,2564,2361,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000352832,7240,6921,NaN,no,no,no,yes,0,0.5,NaN
ENST00000354424,7318,6999,NaN,no,no,no,yes,0,0.5,NaN
ENST00000354983,7495,7065,NaN,no,no,no,yes,0,0.5,NaN
ENST00000358244,7648,7134,NaN,no,no,no,yes,0,0.5,NaN
ENST00000359106,7351,7032,NaN,no,no,no,yes,0,0.5,NaN
ENST00000360761,7174,6855,NaN,no,no,no,yes,0,0.5,NaN
ENST00000326577,1001,390,4,no,no,no,yes,0,0.5,NaN
ENST00000341627,878,285,3,no,no,no,yes,0,0.5,NaN
ENST00000007660,1685,528,NaN,no,no,yes,no,0,0.3333333,NaN
ENST00000005198,5461,3357,13,no,no,no,no,0,0.2,NaN
ENST00000005257,2792,621,5,no,no,no,yes,0,0.2,NaN
ENST00000005260,2514,1536,NaN,no,no,no,yes,0,0.5,NaN
ENST00000006967,3707,2826,NaN,no,no,no,yes,0,0,NaN
ENST00000242066,2251,1428,14,no,no,no,no,0,0.2,NaN
ENST00000343495,1374,1374,11,no,no,no,no,0,0.2,NaN
ENST00000336240,2778,1269,NaN,no,no,no,yes,0,0.5,NaN
ENST00000355413,2647,1269,NaN,no,no,no,yes,0,0.5,NaN
ENST00000007633,2162,1398,NaN,no,no,no,no,0,0.6,NaN
ENST00000316367,732,690,NaN,no,no,no,no,0,0.6,NaN
ENST00000342456,2027,1290,NaN,no,no,no,no,0,0.6,NaN
ENST00000007797,2148,1119,NaN,no,no,no,no,0,0,NaN
ENST00000248550,4705,2361,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000275575,4540,2088,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000307305,1761,1101,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000320467,1585,1026,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000005180,702,285,NaN,no,yes,no,no,0,0.8571429,NaN
ENST00000264042,3997,3165,NaN,no,no,no,no,0.2,0,NaN
ENST00000005226,3231,2700,27,no,yes,no,no,0,0.6666667,NaN
ENST00000318024,2046,1953,23,no,yes,no,no,0,0.6666667,NaN
ENST00000344020,1697,1602,20,no,yes,no,no,0,0.6666667,NaN
ENST00000358979,1754,1659,21,no,yes,no,no,0,0.6666667,NaN
ENST00000005374,1022,345,3,yes,no,no,yes,NaN,NaN,NaN
ENST00000275428,1163,567,4,yes,no,no,yes,NaN,NaN,NaN
ENST00000265728,3907,2025,NaN,no,no,no,no,0,0.25,NaN
ENST00000248419,1438,1224,4,no,no,no,yes,0,0.3636364,NaN
ENST00000359806,1324,1110,5,no,no,no,yes,0,0.3636364,NaN
ENST00000005558,2022,1356,NaN,no,no,no,no,0,0,NaN
ENST00000355579,1772,1356,NaN,no,no,no,no,0,0,NaN
ENST00000012497,554,420,NaN,no,no,no,no,0,0,NaN
ENST00000360675,1082,507,NaN,no,no,no,no,0,0,NaN
ENST00000261643,2995,1332,7,no,no,no,no,0,0,NaN
ENST00000265755,3415,2880,27,no,no,no,no,0.2,0.2,NaN
ENST00000221265,2127,1596,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000221266,1900,1533,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000265745,3466,2340,28,no,no,no,no,0,0,NaN
ENST00000310301,4893,2565,29,no,no,no,no,0,0,NaN
ENST00000343914,513,423,NaN,no,no,yes,no,0.6,0,NaN
ENST00000355021,513,387,NaN,no,no,yes,no,0.6,0,NaN
ENST00000262444,4234,2481,20,no,no,no,yes,0,0,NaN
ENST00000340825,4224,348,22,no,no,no,yes,0,0,NaN
ENST00000338034,2966,2481,24,no,no,no,no,0.2,0.2,NaN
ENST00000297029,2601,2148,16,yes,no,no,no,0,0,NaN
ENST00000341757,2569,1881,15,yes,no,no,no,0,0,NaN
ENST00000217890,1223,1149,7,yes,no,no,no,0,0.1666667,NaN
ENST00000358177,1852,1776,12,yes,no,no,no,0,0.1666667,NaN
ENST00000005113,2815,762,7,no,no,no,no,0,0.25,NaN
ENST00000252172,5904,5814,41,yes,no,no,no,0,0.7777778,NaN
ENST00000005924,4018,1161,8,yes,yes,no,no,0,0.1666667,NaN
ENST00000357103,4012,1161,9,yes,yes,no,no,0,0.1666667,NaN
ENST00000265334,2129,1779,NaN,no,no,yes,no,0,0,NaN
ENST00000005756,2234,954,NaN,no,no,no,no,0,0.125,NaN
ENST00000005995,1165,945,6,no,no,no,no,0,0.3333333,NaN
ENST00000262891,4837,2259,NaN,no,no,no,no,0,0.2666667,NaN
ENST00000262893,1683,1386,NaN,no,no,no,no,0,0.2666667,NaN
ENST00000300843,4917,2067,NaN,no,no,no,no,0,0.2666667,NaN
ENST00000265014,3791,2595,27,no,no,no,no,0,0.5,NaN
ENST00000262801,944,672,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000187608,804,708,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000006951,5580,1233,11,no,no,yes,yes,0,0.5,NaN
ENST00000313735,4203,3462,NaN,yes,no,yes,no,0,0.3846154,NaN
ENST00000262442,13816,13461,69,no,no,no,no,0,0.5454546,NaN
ENST00000341454,3145,2397,15,no,no,no,no,0,0.5454546,NaN
ENST00000359312,9198,336,49,no,no,no,no,0,0.5454546,NaN
ENST00000361801,13748,2397,69,no,no,no,no,0,0.5454546,NaN
ENST00000005905,7047,6693,NaN,no,no,no,yes,NaN,NaN,NaN
ENST00000314669,2288,1779,NaN,no,no,no,no,0,0.25,NaN
ENST00000323816,8211,1431,14,no,no,no,yes,0,0.75,NaN
ENST00000361018,8181,1239,14,no,no,no,yes,0,0.75,NaN
ENST00000006275,794,522,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000317470,750,492,NaN,no,no,no,no,NaN,NaN,NaN
ENST00000310132,2133,1524,14,no,no,yes,no,0,8.33E-02,NaN
ENST00000315548,1740,1527,13,no,no,yes,no,0,8.33E-02,NaN
ENST00000348393,1913,1572,13,no,no,yes,no,0,8.33E-02,NaN
ENST00000006724,2291,798,NaN,no,no,no,no,0,0,no
ENST00000338196,524,519,NaN,no,no,no,no,0,0,no
ENST00000006750,1269,690,NaN,no,no,no,no,0,0.4,NaN
ENST00000349817,957,378,NaN,no,no,no,no,0,0.4,NaN
ENST00000356543,1269,690,NaN,no,no,no,no,0,0.4,NaN
ENST00000006839,7805,5511,NaN,no,no,no,no,0,0.5,NaN
ENST00000342912,4386,1728,NaN,no,no,no,yes,0,0,NaN
ENST00000343210,2086,1668,NaN,no,no,no,yes,0,0,NaN
ENST00000358039,4474,1677,NaN,no,no,no,yes,0,0,NaN
ENST00000360743,4432,1635,NaN,no,no,no,yes,0,0,NaN
